rank,player_name,p_win_%,p_top10_%,p_mc_%,r1_teetime,r2_teetime,course_fit_score
1,"Scheffler, Scottie",35.94,93.7,100.0,13:33,11:07,0.48808587635731165
2,"Aberg, Ludvig",18.28,85.6,100.0,09:47,12:31,0.510887078072393
3,"McIlroy, Rory",8.61,71.7,100.0,12:20,09:47,0.1441374530440829
4,"Burns, Sam",7.75,70.4,100.0,10:49,13:33,0.28046342621787884
5,"Fleetwood, Tommy",6.76,67.0,100.0,13:22,10:49,0.6407013570530504
6,"Cantlay, Patrick",4.33,57.7,100.0,11:29,09:03,0.17392987763938922
7,"Scott, Adam",3.61,54.9,100.0,09:36,12:20,0.15221620784743042
8,"MacIntyre, Robert",3.02,51.2,100.0,12:09,09:36,0.18497638980762002
9,"Hovland, Viktor",2.94,50.4,100.0,12:42,10:16,0.3446926280315955
10,"Schauffele, Xander",1.92,42.2,100.0,12:20,09:47,0.35359075101874776
11,"Fitzpatrick, Matt",1.39,37.6,100.0,13:33,11:07,0.19285075548440503
12,"Griffin, Ben",1.26,37.8,100.0,09:25,12:09,-0.23547709548069204
13,"Fowler, Rickie",0.91,29.1,100.0,12:09,09:36,0.26136028049480986
14,"Young, Cameron",0.62,25.8,100.0,11:07,13:44,-0.04138883010510039
15,"Im, Sungjae",0.59,23.8,100.0,09:14,11:51,0.3592919767384756
16,"Noren, Alex",0.3,15.9,100.0,11:51,09:25,0.1800624234097549
17,"McNealy, Maverick",0.21,14.6,100.0,13:55,11:29,0.038251216856394835
18,"Spaun, J.J.",0.18,13.7,100.0,12:42,10:16,-0.012396373446416158
19,"Matsuyama, Hideki",0.15,12.7,100.0,10:38,13:22,0.06129325130651435
20,"Henley, Russell",0.14,11.8,100.0,13:44,11:18,0.6416205757730821
21,"Bridgeman, Jacob",0.14,12.2,100.0,13:44,11:18,0.48743556803807436
22,"Thorbjornsen, Michael",0.11,9.1,100.0,11:40,09:14,0.1684342434684124
23,"Lee, Min Woo",0.11,9.8,100.0,13:11,10:38,0.17220050746841242
24,"Kim, Si Woo",0.11,10.6,100.0,11:07,13:44,0.33525083927159255
25,"Kim, Tom",0.09,9.3,100.0,10:05,12:42,0.22122283897123945
26,"Hojgaard, Nicolai",0.08,6.3,100.0,12:31,10:05,0.12435038346841239
27,"Knapp, Jake",0.05,7.5,100.0,11:51,09:25,0.17273155546841243
28,"Brennan, Michael",0.05,6.1,100.0,11:18,13:55,0.20259499746841242
29,"Clark, Wyndham",0.04,7.1,100.0,10:49,13:33,0.09971544874730949
30,"Kitayama, Kurt",0.04,6.9,100.0,12:53,10:27,-0.03471548309345271
31,"Reitan, Kristoffer",0.04,5.6,100.0,10:27,13:11,0.1831083024684124
32,"Thomas, Justin",0.03,4.2,100.0,09:03,11:40,-0.11450755978581253
33,"Rose, Justin",0.03,4.6,100.0,10:16,12:53,-0.07040564504735357
34,"Hisatsune, Ryo",0.03,3.7,100.0,11:29,09:03,0.0688684484684124
35,"Morikawa, Collin",0.03,3.2,100.0,09:47,12:31,0.37885554505088875
36,"Fitzpatrick, Alex",0.02,6.1,100.0,10:27,13:11,0.10033387946841239
37,"Echavarria, Nico",0.01,3.2,100.0,11:40,09:14,0.07093487546841241
38,"Gotterup, Chris",0.01,2.4,100.0,13:22,10:49,0.0702392433238108
39,"Woodland, Gary",0.01,3.5,100.0,09:36,12:20,0.14737465346841244
40,"Smalley, Alex",0.01,2.3,100.0,10:16,12:53,-0.49081338430030685
41,"McCarty, Matt",0.01,2.0,100.0,13:55,11:29,0.02393113146841241
42,"Poston, J.T.",0.01,2.1,100.0,12:53,10:27,-0.006288034861901923
43,"Straka, Sepp",0.01,2.0,100.0,09:14,11:51,0.15207141577793504
44,"Theegala, Sahith",0.0,0.7,100.0,09:03,11:40,-0.294901896009551
45,"Cole, Eric",0.0,0.2,100.0,11:18,13:55,-0.36120388771588274
46,"Cauley, Bud",0.0,0.9,100.0,12:31,10:05,0.34261574468552325
47,"Rai, Aaron",0.0,0.1,100.0,09:25,12:09,0.6774154472919646
48,"Bhatia, Akshay",0.0,0.6,100.0,10:38,13:22,0.10443024251626451
49,"Gerard, Ryan",0.0,0.0,100.0,13:11,10:38,0.03792538082933782
50,"Fox, Ryan",0.0,0.0,100.0,10:05,12:42,-0.3980934875423365
