rank,player_name,p_win_%,p_top10_%,p_mc_%,r1_teetime,r2_teetime,course_fit_score
1,"Scheffler, Scottie",25.96,79.2,96.6,2026-01-22 09:14,2026-01-23 08:41,0.0
2,"Griffin, Ben",16.09,69.2,94.7,2026-01-22 10:31,2026-01-23 09:58,0.0
3,"Cantlay, Patrick",9.29,56.0,91.6,2026-01-22 10:31,2026-01-23 09:58,0.0
4,"Kim, Si Woo",7.85,53.3,91.1,2026-01-22 09:14,2026-01-23 08:41,0.0
5,"Lee, Min Woo",3.76,36.5,84.9,2026-01-22 08:41,2026-01-23 10:31,0.0
6,"Thompson, Davis",2.78,32.3,83.0,2026-01-22 09:14,2026-01-23 08:41,0.0
7,"Burns, Sam",2.72,31.6,82.0,2026-01-22 10:31,2026-01-23 09:58,0.0
8,"Day, Jason",2.35,27.7,80.3,2026-01-22 10:09,2026-01-23 09:36,0.0
9,"Stanger, Jimmy",2.3,28.7,80.7,2026-01-22 10:42,2026-01-23 10:09,0.0
10,"Zalatoris, Will",2.23,28.9,80.7,2026-01-22 08:41,2026-01-23 10:31,0.0
11,"Mitchell, Keith",1.86,26.0,79.5,2026-01-22 10:20,2026-01-23 09:47,0.0
12,"Smalley, Alex",1.68,24.4,78.9,2026-01-22 10:20,2026-01-23 09:47,0.0
13,"Poston, J.T.",1.6,23.9,78.1,2026-01-22 09:14,2026-01-23 08:41,0.0
14,"Straka, Sepp",1.51,24.1,78.1,2026-01-22 10:31,2026-01-23 09:58,0.0
15,"Power, Seamus",1.41,22.0,76.8,2026-01-22 09:03,2026-01-23 08:30,0.0
16,"Henley, Russell",1.36,22.1,76.6,2026-01-22 09:47,2026-01-23 09:14,0.0
17,"Dunlap, Nick",1.29,20.1,75.6,2026-01-22 09:47,2026-01-23 09:14,0.0
18,"Berger, Daniel",1.27,20.3,75.1,2026-01-22 08:41,2026-01-23 10:31,0.0
19,"Bezuidenhout, Christiaan",1.2,20.0,75.5,2026-01-22 10:20,2026-01-23 09:47,0.0
20,"Rose, Justin",1.16,19.1,74.3,2026-01-22 09:14,2026-01-23 08:41,0.0
21,"Yu, Kevin",0.79,15.5,71.6,2026-01-22 09:47,2026-01-23 09:14,0.0
22,"Homa, Max",0.71,15.3,71.0,2026-01-22 10:31,2026-01-23 09:58,0.0
23,"Greyserman, Max",0.64,13.8,69.3,2026-01-22 09:25,2026-01-23 08:52,0.0
24,"Harman, Brian",0.58,12.0,67.4,2026-01-22 10:31,2026-01-23 09:58,0.0
25,"McCarthy, Denny",0.56,12.9,68.5,2026-01-22 09:36,2026-01-23 09:03,0.0
26,"Bridgeman, Jacob",0.52,12.0,66.7,2026-01-22 09:47,2026-01-23 09:14,0.0
27,"Roy, Kevin",0.44,10.1,64.3,2026-01-22 08:30,2026-01-23 10:20,0.0
28,"English, Harris",0.4,10.5,65.0,2026-01-22 08:41,2026-01-23 10:31,0.0
29,"Castillo, Ricky",0.38,9.9,63.3,2026-01-22 10:42,2026-01-23 10:09,0.0
30,"Hall, Harry",0.35,9.4,63.7,2026-01-22 09:47,2026-01-23 09:14,0.0
31,"Kirk, Chris",0.35,9.5,63.7,2026-01-22 09:47,2026-01-23 09:14,0.0
32,"Gerard, Ryan",0.34,9.7,63.6,2026-01-22 09:47,2026-01-23 09:14,0.0
33,"Hisatsune, Ryo",0.26,7.5,59.9,2026-01-22 09:03,2026-01-23 08:30,0.0
34,"Aberg, Ludvig",0.23,6.3,57.8,2026-01-22 08:41,2026-01-23 10:31,0.0
35,"Capan III, Frankie",0.2,6.6,58.7,2026-01-22 09:25,2026-01-23 08:52,0.0
36,"Noren, Alex",0.19,7.5,60.1,2026-01-22 10:09,2026-01-23 09:36,0.0
37,"Woodland, Gary",0.18,6.2,57.1,2026-01-22 09:47,2026-01-23 09:14,0.0
38,"Taylor, Nick",0.16,6.3,57.6,2026-01-22 10:31,2026-01-23 09:58,0.0
39,"Ghim, Doug",0.15,6.0,57.3,2026-01-22 08:30,2026-01-23 10:20,0.0
40,"Fitzpatrick, Matt",0.15,5.3,55.7,2026-01-22 10:09,2026-01-23 09:36,0.0
41,"Hoge, Tom",0.15,5.1,54.9,2026-01-22 09:36,2026-01-23 09:03,0.0
42,"Cole, Eric",0.15,4.5,52.4,2026-01-22 09:36,2026-01-23 09:03,0.0
43,"Wallace, Matt",0.13,3.9,51.4,2026-01-22 09:03,2026-01-23 08:30,0.0
44,"Hodges, Lee",0.13,4.5,52.9,2026-01-22 08:41,2026-01-23 10:31,0.0
45,"Finau, Tony",0.12,5.5,54.9,2026-01-22 09:25,2026-01-23 08:52,0.0
46,"Griffin, Lanto",0.11,4.8,53.7,2026-01-22 09:03,2026-01-23 08:30,0.0
47,"Phillips, Chandler",0.11,3.8,50.4,2026-01-22 10:20,2026-01-23 09:47,0.0
48,"Hossler, Beau",0.09,3.5,49.1,2026-01-22 09:36,2026-01-23 09:03,0.0
49,"Hojgaard, Rasmus",0.08,3.4,48.8,2026-01-22 10:20,2026-01-23 09:47,0.0
50,"Hoey, Rico",0.08,3.3,48.6,2026-01-22 09:03,2026-01-23 08:30,0.0
51,"Young, Carson",0.07,3.0,47.3,2026-01-22 10:09,2026-01-23 09:36,0.0
52,"Clark, Wyndham",0.06,3.5,49.0,2026-01-22 09:47,2026-01-23 09:14,0.0
53,"Whaley, Vince",0.06,2.9,46.6,2026-01-22 08:30,2026-01-23 10:20,0.0
54,"Schmid, Matti",0.06,2.9,46.9,2026-01-22 09:03,2026-01-23 08:30,0.0
55,"Hughes, Mackenzie",0.06,3.1,47.6,2026-01-22 08:41,2026-01-23 10:31,0.0
56,"Hubbard, Mark",0.06,3.2,47.6,2026-01-22 08:30,2026-01-23 10:20,0.0
57,"Bhatia, Akshay",0.06,3.0,47.2,2026-01-22 09:47,2026-01-23 09:14,0.0
58,"Kim, Tom",0.06,2.8,45.8,2026-01-22 08:41,2026-01-23 10:31,0.0
59,"Horschel, Billy",0.05,2.5,46.0,2026-01-22 08:41,2026-01-23 10:31,0.0
60,"Scott, Adam",0.05,2.7,45.9,2026-01-22 10:09,2026-01-23 09:36,0.0
61,"Kuchar, Matt",0.05,2.7,46.6,2026-01-22 10:09,2026-01-23 09:36,0.0
62,"Putnam, Andrew",0.05,2.7,46.4,2026-01-22 10:20,2026-01-23 09:47,0.0
63,"Thorbjornsen, Michael",0.05,2.5,44.9,2026-01-22 08:30,2026-01-23 10:20,0.0
64,"Kanaya, Takumi",0.05,1.9,42.8,2026-01-22 08:30,2026-01-23 10:20,0.0
65,"McCarty, Matt",0.04,2.3,44.0,2026-01-22 10:09,2026-01-23 09:36,0.0
66,"Theegala, Sahith",0.04,2.3,43.8,2026-01-22 08:30,2026-01-23 10:20,0.0
67,"Kizzire, Patton",0.04,1.7,39.7,2026-01-22 10:20,2026-01-23 09:47,0.0
68,"Pavon, Matthieu",0.04,1.8,41.3,2026-01-22 09:14,2026-01-23 08:41,0.0
69,"Davis, Cam",0.04,2.3,44.6,2026-01-22 09:14,2026-01-23 08:41,0.0
70,"Jaeger, Stephan",0.03,2.1,42.5,2026-01-22 10:31,2026-01-23 09:58,0.0
71,"Pendrith, Taylor",0.03,1.4,38.1,2026-01-22 10:31,2026-01-23 09:58,0.0
72,"Kim, Chan",0.03,2.0,42.4,2026-01-22 09:25,2026-01-23 08:52,0.0
73,"Stevens, Sam",0.03,1.7,42.1,2026-01-22 08:30,2026-01-23 10:20,0.0
74,"Smith, Jordan",0.02,1.4,38.8,2026-01-22 08:52,2026-01-23 10:42,0.0
75,"Saddier, Adrien",0.02,0.7,31.3,2026-01-22 09:58,2026-01-23 09:25,0.0
76,"Higgs, Harry",0.02,1.5,39.4,2026-01-22 09:36,2026-01-23 09:03,0.0
77,"Rodgers, Patrick",0.02,1.5,38.4,2026-01-22 08:30,2026-01-23 10:20,0.0
78,"Grillo, Emiliano",0.02,1.7,39.8,2026-01-22 08:41,2026-01-23 10:31,0.0
79,"Van Rooyen, Erik",0.02,1.4,38.5,2026-01-22 09:03,2026-01-23 08:30,0.0
80,"Lower, Justin",0.02,1.4,38.8,2026-01-22 09:58,2026-01-23 09:25,0.0
81,"Parry, John",0.02,2.0,42.3,2026-01-22 09:25,2026-01-23 08:52,0.0
82,"Shipley, Neal",0.02,0.6,31.5,2026-01-22 09:58,2026-01-23 09:25,0.0
83,"Blanchet, Chandler",0.02,0.7,31.0,2026-01-22 10:42,2026-01-23 10:09,0.0
84,"Kim, Michael",0.02,1.1,36.6,2026-01-22 09:36,2026-01-23 09:03,0.0
85,"Cauley, Bud",0.02,1.2,37.3,2026-01-22 08:30,2026-01-23 10:20,0.0
86,"Fowler, Rickie",0.01,1.1,36.7,2026-01-22 09:36,2026-01-23 09:03,0.0
87,"Vegas, Jhonattan",0.01,0.9,33.5,2026-01-22 10:31,2026-01-23 09:58,0.0
88,"Ventura, Kris",0.01,1.2,37.8,2026-01-22 10:42,2026-01-23 10:09,0.0
89,"Moore, Taylor",0.01,1.0,34.2,2026-01-22 09:03,2026-01-23 08:30,0.0
90,"Kang, Jeffrey",0.01,0.7,31.3,2026-01-22 08:52,2026-01-23 10:42,0.0
91,"Campbell, Brian",0.01,0.5,29.7,2026-01-22 10:31,2026-01-23 09:58,0.0
92,"Bauchou, Zach",0.01,0.7,31.5,2026-01-22 10:42,2026-01-23 10:09,0.0
93,"Eckroat, Austin",0.01,0.8,31.9,2026-01-22 10:09,2026-01-23 09:36,0.0
94,"Ewart, A.J.",0.01,0.6,30.8,2026-01-22 10:42,2026-01-23 10:09,0.0
95,"Ford, David",0.01,0.5,30.0,2026-01-22 09:58,2026-01-23 09:25,0.0
96,"Keefer, Johnny",0.01,0.7,31.6,2026-01-22 08:30,2026-01-23 10:20,0.0
97,"Svensson, Jesper",0.01,0.9,33.5,2026-01-22 08:52,2026-01-23 10:42,0.0
98,"Meissner, Mac",0.01,0.8,31.8,2026-01-22 08:30,2026-01-23 10:20,0.0
99,"Yellamaraju, Sudarshan",0.01,0.7,31.3,2026-01-22 09:25,2026-01-23 08:52,0.0
100,"Gonzalez, Emilio",0.01,0.8,31.7,2026-01-22 09:25,2026-01-23 08:52,0.0
101,"Brown, Dan",0.01,1.1,35.0,2026-01-22 10:42,2026-01-23 10:09,0.0
