rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Scheffler, Scottie",41.71,92.5,99.3,0.49372614142527105
2,"DeChambeau, Bryson",13.45,73.6,97.0,0.2991367002622811
3,"Schauffele, Xander",7.52,61.2,94.8,0.4706827182212898
4,"McIlroy, Rory",7.5,60.7,95.0,0.4006185291671407
5,"Hovland, Viktor",5.16,53.0,93.0,0.35128104004731586
6,"Gerard, Ryan",3.35,43.4,90.9,0.5014432901497443
7,"Rahm, Jon",3.16,42.5,90.2,0.4557789985216565
8,"Fitzpatrick, Matt",2.37,37.4,88.8,0.29927359251033747
9,"Hall, Harry",1.67,31.1,86.3,0.3030949025770646
10,"Fleetwood, Tommy",1.64,31.6,86.4,0.26985496423574257
11,"Morikawa, Collin",1.58,30.3,85.9,0.46380299818491105
12,"Lowry, Shane",1.38,29.7,85.8,0.35839046452379436
13,"Young, Cameron",1.34,27.3,84.1,0.5267548333013619
14,"Bradley, Keegan",0.87,22.0,81.2,0.42214979986954515
15,"Rose, Justin",0.56,17.4,78.6,0.09161410239592392
16,"Hisatsune, Ryo",0.47,16.2,76.6,0.034615330091694
17,"Koepka, Brooks",0.38,14.8,75.8,0.09869143218068326
18,"Lee, Min Woo",0.37,13.4,73.9,0.12231278080621333
19,"Thomas, Justin",0.36,12.4,73.0,0.01976705746103692
20,"Niemann, Joaquin",0.34,13.4,74.0,0.1503147532837952
21,"Theegala, Sahith",0.32,12.7,73.1,-0.14086833947593053
22,"Penge, Marco",0.31,13.2,74.1,0.723222537400486
23,"Conners, Corey",0.3,11.4,72.1,0.3304723636565413
24,"Kitayama, Kurt",0.29,11.8,72.3,0.22424471996722178
25,"Highsmith, Joe",0.28,9.9,69.9,0.19639668128287294
26,"Hatton, Tyrrell",0.27,11.0,71.0,0.2683581540846115
27,"Reed, Patrick",0.25,10.3,70.2,0.05973820829819422
28,"English, Harris",0.24,9.7,70.0,-0.03151852303847639
29,"Cantlay, Patrick",0.2,9.4,69.5,0.3535262803189908
30,"Detry, Thomas",0.16,7.5,65.7,-0.08003312525128671
31,"Noren, Alex",0.15,8.3,67.8,0.14892231026008482
32,"Spieth, Jordan",0.15,9.6,69.6,0.2553669583312182
33,"Cink, Stewart",0.15,7.2,65.2,0.12579139695331637
34,"Greyserman, Max",0.14,6.2,63.4,0.09309485604617884
35,"Fowler, Rickie",0.13,8.3,67.5,0.265699673251265
36,"Aberg, Ludvig",0.12,6.9,65.1,0.2894630847587887
37,"Griffin, Ben",0.12,5.4,61.4,-0.00887990493529156
38,"Smalley, Alex",0.12,6.1,63.4,0.27636150745200483
39,"Thorbjornsen, Michael",0.11,7.2,65.7,0.5578597393501437
40,"Matsuyama, Hideki",0.1,6.7,64.8,0.10025204403068284
41,"Pendrith, Taylor",0.1,6.3,63.8,0.04450832578520056
42,"Kim, Si Woo",0.08,5.5,62.0,0.2010538992778197
43,"Scott, Adam",0.07,5.0,60.8,0.32974062383547054
44,"Spaun, J.J.",0.05,4.4,58.4,0.3333539464468057
45,"Burns, Sam",0.05,4.1,57.4,0.04184772559678254
46,"MacIntyre, Robert",0.05,3.2,54.6,0.06512884772126667
47,"Smith, Jordan",0.03,3.2,54.3,0.16103823049405297
48,"Wallace, Matt",0.03,2.6,52.5,0.169973408662555
49,"Glover, Lucas",0.03,3.2,54.5,0.3545787477375203
50,"Henley, Russell",0.03,3.0,52.9,0.260547468598465
51,"Fox, Ryan",0.03,2.0,49.5,0.02673921531796014
52,"Harman, Brian",0.02,2.3,51.4,0.1095875856058823
53,"Woodland, Gary",0.02,2.3,50.4,0.04710351657890893
54,"Mitchell, Keith",0.02,1.9,49.1,0.38750157503242033
55,"McKibbin, Tom",0.02,2.1,49.1,0.47162416969490645
56,"Bhatia, Akshay",0.02,1.5,44.6,0.11652405364486677
57,"McNealy, Maverick",0.02,2.5,51.0,0.14244291688566738
58,"Riley, Davis",0.02,1.6,46.4,0.16707309325597802
59,"Hojgaard, Nicolai",0.02,1.9,48.7,0.043097720269873796
60,"Poston, J.T.",0.02,2.0,48.9,0.11128246564338744
61,"Day, Jason",0.01,1.1,42.0,0.1457626234634916
62,"Reitan, Kristoffer",0.01,1.4,44.2,0.12482950495331636
63,"Rai, Aaron",0.01,2.6,51.9,0.42539966229020676
64,"Neergaard-Petersen, Rasmus",0.01,0.8,38.8,0.3065753315874605
65,"McCarthy, Denny",0.01,2.0,49.4,-0.07340465303627411
66,"Bezuidenhout, Christiaan",0.01,1.5,45.3,-0.0022179891444557287
67,"Fisk, Steven",0.01,0.3,31.0,0.08999555595331638
68,"Coody, Pierceson",0.01,1.1,41.9,0.16260977595331638
69,"Horschel, Billy",0.01,1.6,45.9,0.14226754328028215
70,"Jarvis, Casey",0.01,0.4,33.3,0.1333206809533164
71,"Putnam, Andrew",0.01,1.1,42.4,-0.019350300408304544
72,"Potgieter, Aldrich",0.01,0.2,28.5,0.06027028695331637
73,"Holt, Ian",0.01,0.2,26.7,0.12579139695331637
74,"Ayora, Angel",0.01,0.7,36.8,0.12204644295331638
75,"Yellamaraju, Sudarshan",0.0,0.7,38.1,0.14034587095331635
76,"McCarty, Matt",0.0,0.8,39.0,0.4807960973852471
77,"Im, Sungjae",0.0,0.4,32.8,0.25381699715005823
78,"Castillo, Ricky",0.0,0.6,34.6,0.09494010895331637
79,"Smotherman, Austin",0.0,0.3,31.5,0.15430033495331638
80,"Smith, Cameron",0.0,1.0,41.1,-0.14256381495348547
81,"Haynes, Zach",0.0,0.2,26.4,0.12579139695331637
82,"Saddier, Adrien",0.0,0.2,26.8,0.06612837795331637
83,"Hillier, Daniel",0.0,0.7,37.9,0.11151991195331637
84,"Mouw, William",0.0,0.4,31.9,0.10150556295331638
85,"Homa, Max",0.0,1.5,44.6,0.07734458014420324
86,"Gabriele, Chris",0.0,0.2,26.8,0.12579139695331637
87,"Fitzpatrick, Alex",0.0,1.3,44.3,0.20477162995331638
88,"Wiesberger, Bernd",0.0,0.8,38.2,0.31600857453553005
89,"Clark, Wyndham",0.0,0.4,32.5,0.14411552502333258
90,"Kirk, Chris",0.0,1.1,41.5,0.06999734725385312
91,"Blanchet, Chandler",0.0,0.1,24.3,0.08400350295331638
92,"Gumberg, Jordan",0.0,0.0,10.9,-0.08199990404668363
93,"Wiseman, Timothy",0.0,0.0,1.9,0.12579139695331637
94,"Yang, Y.E.",0.0,0.0,10.0,0.12579139695331637
95,"Sapp, Garrett",0.0,0.2,26.9,0.12579139695331637
96,"Geddes, Mark",0.0,0.0,7.2,0.12579139695331637
97,"Schaper, Jayden",0.0,0.9,39.3,0.12579139695331637
98,"Walker, Jimmy",0.0,0.0,16.8,0.12579139695331637
99,"Vermeer, Ryan",0.0,0.0,7.2,0.12579139695331637
100,"Bide, Francisco",0.0,0.2,26.8,0.12579139695331637
101,"Echavarria, Nico",0.0,0.3,27.7,-0.03308042463293495
102,"Schenk, Adam",0.0,0.0,11.7,-0.32829392181391975
103,"Schmid, Matti",0.0,0.2,27.2,0.05295635995331637
104,"Grillo, Emiliano",0.0,0.1,23.4,-0.3914669268182027
105,"Shattuck, Braden",0.0,0.0,12.0,0.12579139695331637
106,"Stevens, Sam",0.0,0.2,25.4,-0.019316009003877976
107,"Vegas, Jhonattan",0.0,0.3,31.9,0.37858483642351637
108,"Valimaki, Sami",0.0,0.0,14.1,0.10292929296314662
109,"Berg, Derek",0.0,0.2,26.8,0.12579139695331637
110,"Fisher, Bryce",0.0,0.2,26.6,0.12579139695331637
111,"Berger, Daniel",0.0,0.3,30.0,0.47664048329289016
112,"Smylie, Elvis",0.0,0.0,7.7,-0.052390011121646124
113,"Smyth, Trav",0.0,0.2,26.5,0.12579139695331637
114,"Taylor, Nick",0.0,0.4,33.1,0.19725148854082147
115,"Sullivan, Andy",0.0,0.1,19.6,-0.2283090430826633
116,"Straka, Sepp",0.0,1.7,47.6,0.29077468697417
117,"Gotterup, Chris",0.0,0.5,34.5,0.3307210322246522
118,"Snedeker, Brandt",0.0,0.1,22.0,0.06715539195331637
119,"Donald, Luke",0.0,0.0,5.6,-0.3232442793889036
120,"Rodgers, Patrick",0.0,0.1,21.5,-0.2129906155662085
121,"Lipsky, David",0.0,0.1,23.6,0.08189999795331637
122,"Li, Haotong",0.0,0.3,30.6,0.10799831595331637
123,"Lenahan, Ryan",0.0,0.0,3.7,0.12579139695331637
124,"Collet, Tyler",0.0,0.0,3.1,0.12579139695331637
125,"Kim, Michael",0.0,0.6,36.0,0.16202551298816775
126,"Kern, Ben",0.0,0.0,5.3,0.12579139695331637
127,"Keefer, Johnny",0.0,0.0,11.6,-0.05321080170529435
