rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Scheffler, Scottie",69.15,99.2,99.9,0.5619854968886075
2,"Schauffele, Xander",15.28,88.7,99.2,0.6516197660822765
3,"Koepka, Brooks",3.06,61.7,95.9,0.2766948002011375
4,"Hojgaard, Rasmus",2.97,60.0,95.5,0.5840937458579754
5,"Spieth, Jordan",1.2,43.3,92.3,0.014064326507367858
6,"Kim, Si Woo",1.1,41.8,92.2,0.3691239495386504
7,"Burns, Sam",1.08,41.0,91.4,0.12192499448086504
8,"McNealy, Maverick",0.72,36.4,90.4,0.010094634191910477
9,"Young, Cameron",0.68,35.1,89.3,0.457492825183287
10,"Matsuyama, Hideki",0.67,35.1,89.6,0.15653944204165857
11,"Theegala, Sahith",0.59,32.4,88.9,0.1037287569338955
12,"Taylor, Nick",0.51,29.5,87.8,0.1016639414090246
13,"Fitzpatrick, Matt",0.49,29.5,87.8,0.1677600896019525
14,"Griffin, Ben",0.43,28.3,87.0,0.30861649013928805
15,"Kitayama, Kurt",0.33,23.9,85.0,0.07742742660188948
16,"Smalley, Alex",0.2,20.2,83.1,0.13909341753192317
17,"Poston, J.T.",0.15,14.8,78.9,0.15201339566978342
18,"Mitchell, Keith",0.12,12.6,76.6,0.28229745458695343
19,"Stevens, Sam",0.12,12.8,76.8,0.15700996365703812
20,"Novak, Andrew",0.1,11.9,75.9,-0.12107565749642704
21,"Berger, Daniel",0.1,13.8,77.9,0.12801184364372037
22,"Knapp, Jake",0.09,13.5,78.0,-0.35740366702126786
23,"Hojgaard, Nicolai",0.08,12.1,76.1,-0.08384086640136373
24,"Lee, Min Woo",0.08,11.4,75.1,0.22431000881520038
25,"Clark, Wyndham",0.07,11.5,75.6,-0.10590963741033418
26,"Higgo, Garrick",0.06,9.4,72.7,0.09063588211625545
27,"Bezuidenhout, Christiaan",0.06,12.3,76.5,-0.34434429975406433
28,"Hall, Harry",0.04,6.7,68.4,-0.19118665068339688
29,"Harman, Brian",0.04,6.7,67.8,0.21478421588196495
30,"Coody, Pierceson",0.04,5.0,64.9,0.0755776177308811
31,"Kim, Michael",0.03,6.9,68.4,0.10090309042858694
32,"Conners, Corey",0.03,6.8,69.2,0.36393351015145553
33,"Kim, S.H.",0.02,6.4,67.6,-0.019552936996361348
34,"Rodgers, Patrick",0.02,2.4,55.8,0.2955193012840478
35,"Thompson, Davis",0.02,8.9,72.2,0.18292407059103385
36,"Fowler, Rickie",0.02,3.9,60.4,0.08598407871014262
37,"Hovland, Viktor",0.02,4.5,64.0,0.09907812154244067
38,"Cauley, Bud",0.02,3.7,59.8,-0.19197487152155407
39,"Gotterup, Chris",0.01,2.6,55.5,-0.25962636357933777
40,"Olesen, Thorbjorn",0.01,3.5,60.3,0.0661152437308811
41,"Greyserman, Max",0.01,3.4,59.4,-0.08062291291239693
42,"Parry, John",0.01,2.8,57.8,0.0589680997308811
43,"Straka, Sepp",0.01,2.3,54.4,0.052676671325899926
44,"Finau, Tony",0.01,4.4,62.3,-0.025272010482593504
45,"Kim, Tom",0.01,4.1,62.0,-0.16083678793477613
46,"English, Harris",0.01,3.9,60.9,0.03560873200273838
47,"Smith, Jordan",0.01,2.0,52.8,0.030931627730881102
48,"Reitan, Kristoffer",0.01,2.5,56.1,-0.0087511362691189
49,"Li, Haotong",0.01,3.2,59.0,0.03877898473088111
50,"Morikawa, Collin",0.01,2.9,58.0,0.1405411352108245
51,"Neergaard-Petersen, Rasmus",0.01,3.8,61.0,0.06510173373088111
52,"Kanaya, Takumi",0.01,1.4,50.0,0.0235223187308811
53,"Hisatsune, Ryo",0.01,1.1,46.8,0.22592550206201514
54,"Blanchet, Chandler",0.01,1.0,46.1,0.037193858366809746
55,"Bauchou, Zach",0.01,1.0,45.8,0.037193858366809746
56,"Keefer, Johnny",0.0,1.1,45.3,0.037193858366809746
57,"Fox, Ryan",0.0,1.2,46.1,-0.11291376872979912
58,"Hirata, Kensei",0.0,1.0,46.1,0.037193858366809746
59,"Homa, Max",0.0,3.2,59.1,0.1420986076251557
60,"Vilips, Karl",0.0,0.8,42.1,-0.014614727269118902
61,"Roy, Kevin",0.0,0.9,43.9,-0.0126681982691189
62,"Lamprecht, Christo",0.0,1.1,46.0,0.037193858366809746
63,"Lee, S.T.",0.0,1.0,46.0,0.037193858366809746
64,"Mouw, William",0.0,1.3,47.9,-0.0021480612691189005
65,"Shipley, Neal",0.0,1.0,46.5,0.037193858366809746
66,"Spaun, J.J.",0.0,2.3,55.5,-0.19017385356853317
67,"Saddier, Adrien",0.0,0.8,44.3,0.001507761730881095
68,"Ewart, A.J.",0.0,1.1,45.7,0.037193858366809746
69,"Brennan, Michael",0.0,1.0,46.0,0.037193858366809746
70,"Chatfield, Davis",0.0,1.1,45.6,0.037193858366809746
71,"Dou, Zecheng",0.0,0.9,46.1,0.037193858366809746
72,"Meissner, Mac",0.0,1.4,48.5,0.23068044939515953
73,"Nyholm, Pontus",0.0,1.1,45.7,0.037193858366809746
74,"Penge, Marco",0.0,2.9,58.0,0.029311899730881094
75,"McCarty, Matt",0.0,0.5,37.9,0.29137020022599924
76,"Campbell, Brian",0.0,0.1,26.7,-0.0737540552691189
77,"Dahmen, Joel",0.0,0.8,42.2,0.09034219856962758
78,"Campos, Rafael",0.0,0.0,12.6,-0.19259485953683528
79,"Cole, Eric",0.0,0.2,32.7,-0.07332333860440804
80,"Avant, Thomas",0.0,1.0,45.9,0.037193858366809746
81,"Brown, Dan",0.0,1.4,49.6,-0.008410009269118904
82,"Bridgeman, Jacob",0.0,0.8,41.5,0.05906051989267525
83,"Bhatia, Akshay",0.0,1.2,47.8,0.19759705633016098
84,"Gonzalez, Emilio",0.0,1.1,45.5,0.037193858366809746
85,"Grillo, Emiliano",0.0,0.9,44.4,0.17699531814638114
86,"Highsmith, Joe",0.0,0.0,17.8,0.06720152366054429
87,"Garnett, Brice",0.0,0.1,27.6,0.07196024302390251
88,"Echavarria, Nico",0.0,0.1,24.4,0.024452621357574117
89,"Dumont De Chassart, Adrien",0.0,0.6,38.4,0.3188395413447606
90,"Davis, Cam",0.0,0.0,15.0,-0.014495608443129582
91,"Eckroat, Austin",0.0,0.2,27.2,0.02637695581069279
92,"Jaeger, Stephan",0.0,0.2,31.0,-0.4312314547397733
93,"Hughes, Mackenzie",0.0,1.1,46.6,-0.1996083861657408
94,"Kang, Jeffrey",0.0,0.0,14.9,0.037193858366809746
95,"Hubbard, Mark",0.0,0.2,30.3,-0.07805934892760077
96,"Hoffman, Charley",0.0,0.2,30.3,-0.1477220619604406
97,"Hoge, Tom",0.0,0.7,40.8,-0.2088580833190956
98,"Horschel, Billy",0.0,2.6,55.8,0.07553572617475596
99,"Hoey, Rico",0.0,0.4,34.9,0.6394654490618075
100,"Lebioda, Hank",0.0,0.0,18.7,0.037193858366809746
101,"Kirk, Chris",0.0,1.1,46.0,0.017920116319850847
102,"Phillips, Chandler",0.0,1.5,49.7,0.19691110646766027
103,"Pavon, Matthieu",0.0,0.2,30.6,0.09123605013486269
104,"Nakajima, Keita",0.0,1.0,45.0,-0.029562758269118916
105,"Kizzire, Patton",0.0,0.3,35.1,0.042827248636146995
106,"Malnati, Peter",0.0,0.0,13.7,-0.4864034074894298
