rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Schauffele, Xander",22.1,76.7,97.4,0.454627192590959
2,"Hovland, Viktor",20.55,75.2,97.1,0.30995712477501575
3,"Homa, Max",7.87,54.0,93.1,0.19691540061664997
4,"Fitzpatrick, Matt",4.3,42.6,90.0,0.4816365139358947
5,"Hisatsune, Ryo",4.29,41.3,89.7,0.3255280717352138
6,"Thomas, Justin",3.89,39.0,89.1,0.2608412156273877
7,"McCarty, Matt",3.82,38.5,88.7,0.3646726044440753
8,"Theegala, Sahith",3.8,39.4,89.4,0.25697844476697396
9,"Conners, Corey",3.78,38.0,88.4,0.5328921532704217
10,"Koepka, Brooks",2.98,34.4,87.1,0.2671747486674181
11,"Spieth, Jordan",2.77,33.1,86.8,0.2328592158566084
12,"Horschel, Billy",2.23,29.1,85.2,-0.035533065685573934
13,"Bridgeman, Jacob",1.79,26.1,83.7,-4.9100747051774446e-05
14,"Bradley, Keegan",1.34,23.2,81.7,0.18239998509602887
15,"Neergaard-Petersen, Rasmus",1.34,22.0,80.6,0.4096407506443624
16,"Meissner, Mac",1.2,21.1,80.3,-0.0004266554835922476
17,"Bhatia, Akshay",1.12,20.9,80.3,0.34368085118297126
18,"Castillo, Ricky",1.05,18.9,79.1,0.04048517575347127
19,"Griffin, Ben",0.88,17.9,78.0,0.21909755613624896
20,"Cauley, Bud",0.8,16.6,77.5,-0.0613685261607768
21,"Phillips, Chandler",0.73,16.4,77.0,0.0546223365032548
22,"Greyserman, Max",0.71,15.3,76.2,0.430302780645698
23,"Glover, Lucas",0.53,13.2,74.1,0.10033095765642494
24,"Riley, Davis",0.47,11.6,71.5,-0.06701198947510298
25,"Kim, Tom",0.44,11.6,71.5,0.16255629718605813
26,"Fisk, Steven",0.4,10.2,70.0,0.04263176986519424
27,"Moore, Taylor",0.39,10.6,70.2,0.054145226220321675
28,"Wallace, Matt",0.27,8.0,66.3,-0.054931415027786826
29,"Smotherman, Austin",0.26,7.3,65.4,0.010103967920282564
30,"Paul, Jeremy",0.25,7.2,65.3,0.10290821002286069
31,"McCarthy, Denny",0.23,7.5,65.4,-0.02950150155060799
32,"Cantlay, Patrick",0.2,7.0,64.9,0.14559038743406497
33,"Cole, Eric",0.19,6.9,64.6,0.03864551056792287
34,"Bezuidenhout, Christiaan",0.19,7.2,64.9,0.18584995642194463
35,"Novak, Andrew",0.17,5.6,61.4,0.02069935394317489
36,"Hughes, Mackenzie",0.16,6.3,63.1,-0.06939170598660988
37,"Spaun, J.J.",0.15,4.2,57.6,0.3029589575743872
38,"Pendrith, Taylor",0.12,4.6,58.1,0.22719355639116287
39,"Clark, Wyndham",0.12,5.1,59.9,0.2108049967377921
40,"Olesen, Thorbjorn",0.1,3.9,57.4,0.04501191123819499
41,"Kim, Michael",0.1,5.1,60.1,-0.26845155569508766
42,"Blair, Zac",0.09,4.3,57.8,-0.028592429230626076
43,"Yu, Kevin",0.09,4.7,59.2,0.419354231000394
44,"Taylor, Nick",0.08,3.3,54.3,-0.11598968211268261
45,"Lebioda, Hank",0.07,2.8,52.5,0.010103967920282564
46,"Hadwin, Adam",0.07,3.4,55.8,0.0867975006472266
47,"Penge, Marco",0.07,3.4,54.2,0.074262603434065
48,"Rodgers, Patrick",0.07,3.0,53.6,-0.043904365291678
49,"Coody, Pierceson",0.07,4.1,57.8,-0.18504498667111735
50,"Kuchar, Matt",0.07,2.3,49.4,-0.02107970107321952
51,"Parry, John",0.06,2.9,54.2,0.08126340843406499
52,"McGreevy, Max",0.06,2.7,51.5,0.037798685047950864
53,"Smith, Jordan",0.06,3.2,54.1,0.08063115243406498
54,"Hojgaard, Nicolai",0.06,3.7,55.6,-0.4260026553142541
55,"Clanton, Luke",0.06,3.7,56.1,0.2837279328415812
56,"Ghim, Doug",0.05,2.3,50.3,0.17345619411568455
57,"Reitan, Kristoffer",0.05,3.5,54.7,0.06441629343406498
58,"Hoey, Rico",0.05,1.8,47.7,0.08717908635671492
59,"Grillo, Emiliano",0.05,2.0,48.8,0.5029927973830245
60,"Jaeger, Stephan",0.04,3.1,53.7,0.06472558784327369
61,"Brown, Dan",0.04,1.5,45.1,0.03426796743406499
62,"Simpson, Webb",0.03,2.3,49.5,0.05917485431626875
63,"Stanger, Jimmy",0.03,1.1,41.9,0.010103967920282564
64,"Yellamaraju, Sudarshan",0.03,1.2,42.3,0.010103967920282564
65,"Ford, David",0.03,1.7,45.9,0.034930741434064994
66,"Schmid, Matti",0.03,1.8,48.1,-0.027080381418774738
67,"Pavon, Matthieu",0.03,1.4,44.5,0.17311845753839988
68,"Thompson, Davis",0.03,1.7,46.5,-0.14081842548177287
69,"Wu, Dylan",0.03,1.8,47.4,-0.09471102776763794
70,"Eckroat, Austin",0.02,1.4,44.5,0.1436980528024827
71,"Rai, Aaron",0.02,1.2,43.1,-0.23863701186733594
72,"Kizzire, Patton",0.02,2.2,49.5,-0.17421682626970134
73,"Hodges, Lee",0.02,1.5,45.2,0.3490312378357936
74,"Streelman, Kevin",0.02,2.1,49.2,-0.10678509249044542
75,"Chatfield, Davis",0.02,1.2,42.2,0.010103967920282564
76,"Kim, S.H.",0.02,1.7,46.9,-0.29365350657682354
77,"Whaley, Vince",0.02,1.8,47.4,-0.044801163851392184
78,"Svensson, Adam",0.02,1.7,46.1,0.08232152314311306
79,"Woodland, Gary",0.02,0.9,39.7,-0.08461452948942744
80,"Nyholm, Pontus",0.02,1.1,42.8,0.010103967920282564
81,"Roy, Kevin",0.02,1.9,48.4,-0.15461207644754768
82,"Smalley, Alex",0.02,1.2,42.3,0.012886828178711292
83,"Bauchou, Zach",0.01,1.2,42.1,0.010103967920282564
84,"Hirata, Kensei",0.01,1.1,42.3,0.010103967920282564
85,"Rozo, Marcelo",0.01,1.2,42.4,0.010103967920282564
86,"Higgo, Garrick",0.01,1.5,43.6,-0.20003309150066645
87,"Blanchet, Chandler",0.01,1.1,42.2,0.010103967920282564
88,"Keefer, Johnny",0.01,1.2,42.2,0.010103967920282564
89,"Hubbard, Mark",0.01,0.5,34.4,-0.2503707906105188
90,"Hossler, Beau",0.01,0.7,37.9,-0.022998327887123755
91,"Kang, Jeffrey",0.01,1.1,42.3,0.010103967920282564
92,"Van Rooyen, Erik",0.01,1.2,42.7,0.10526458595565386
93,"Fishburn, Patrick",0.01,0.4,33.3,-0.24917938114067428
94,"Garnett, Brice",0.01,0.4,32.7,0.010103967920282564
95,"Shipley, Neal",0.01,1.0,41.2,0.2456246100129369
96,"Svensson, Jesper",0.01,0.7,38.0,0.38342187251359827
97,"Hojgaard, Rasmus",0.0,0.4,30.7,0.257138705473029
98,"Brown, Blades",0.0,0.1,19.2,0.010103967920282564
99,"Brennan, Michael",0.0,1.1,42.5,0.010103967920282564
100,"VanDerLaan, John",0.0,0.4,30.7,0.010103967920282564
101,"Vilips, Karl",0.0,0.0,14.4,-0.4884123370854454
102,"Saddier, Adrien",0.0,1.1,41.4,-0.015142649565935005
103,"Snedeker, Brandt",0.0,1.4,43.4,-0.09708305644390489
104,"Lipsky, David",0.0,0.2,26.8,-0.004848418425870846
105,"Malnati, Peter",0.0,0.3,31.0,-0.3049062994578845
106,"Schenk, Adam",0.0,0.3,30.8,-0.13226053192117326
107,"Highsmith, Joe",0.0,0.0,18.6,-0.14615383692623904
108,"Campos, Rafael",0.0,0.0,15.7,-0.573863671790558
109,"Campbell, Brian",0.0,0.0,5.5,-0.34542329765780766
110,"Ewart, A.J.",0.0,1.1,42.0,0.010103967920282564
111,"Dou, Zecheng",0.0,0.1,19.7,0.010103967920282564
112,"Davis, Cam",0.0,0.0,13.1,-0.2162128837368777
113,"Dunlap, Nick",0.0,0.2,24.6,-0.103797927565935
114,"Dumont De Chassart, Adrien",0.0,0.1,16.8,-0.5327972881577749
115,"Finau, Tony",0.0,0.1,23.5,-0.4257265872609523
116,"Koch, Greg",0.0,0.1,18.7,0.010103967920282564
117,"Kanaya, Takumi",0.0,0.1,20.5,-0.29273609883545987
118,"Im, Sungjae",0.0,0.5,34.4,0.015231831742830972
119,"Hoffman, Charley",0.0,0.0,14.6,-0.21329751844202613
120,"Peterson, Paul",0.0,0.1,21.9,-0.10810287965810245
121,"Mouw, William",0.0,0.2,24.0,-0.18733142596355348
122,"Putnam, Andrew",0.0,0.1,23.2,-0.24640711369277468
123,"Ramey, Chad",0.0,0.1,24.2,-0.17373753663022062
124,"Salinda, Isaiah",0.0,0.4,33.2,-0.057779552565935005
125,"Sargent, Gordon",0.0,0.2,26.1,-0.14305381156593502
126,"Suber, Jackson",0.0,0.0,10.1,-0.321303923261247
127,"Skinns, David",0.0,0.0,8.0,-0.4977505058144545
128,"Walker, Danny",0.0,0.0,18.2,-0.2680936360506462
129,"Tosti, Alejandro",0.0,0.0,3.1,-0.14367599488132776
