rank,player_name,p_win_%,p_top10_%,p_mc_%,r1_teetime,r2_teetime
1,"Hojgaard, Rasmus",5.03,29.1,77.7,12:04,07:29
2,"Bezuidenhout, Christiaan",3.3,22.5,73.3,12:04,07:29
3,"Neergaard-Petersen, Rasmus",3.23,21.9,72.7,07:18,11:53
4,"Thompson, Davis",3.15,21.8,72.7,11:53,07:18
5,"Castillo, Ricky",2.76,20.4,71.8,12:26,07:51
6,"Parry, John",2.43,18.0,69.2,08:13,12:48
7,"Power, Seamus",1.75,14.6,66.2,07:29,12:04
8,"Wallace, Matt",1.64,15.0,66.3,11:42,07:07
9,"Ghim, Doug",1.57,13.8,65.4,11:42,07:07
10,"Ventura, Kris",1.53,13.6,64.7,12:26,07:51
11,"Kanaya, Takumi",1.41,12.9,63.7,06:45,11:20
12,"Whaley, Vince",1.38,12.2,62.9,12:04,07:29
13,"Dumont De Chassart, Adrien",1.34,13.0,64.2,08:02,12:37
14,"Ramey, Chad",1.29,11.9,62.7,06:45,11:20
15,"Eckroat, Austin",1.26,12.4,62.9,07:29,12:04
16,"Kohles, Ben",1.24,11.6,62.6,12:04,07:29
17,"Kim, S.H.",1.16,11.6,62.5,06:45,11:20
18,"Cole, Eric",1.15,11.0,61.5,12:04,07:29
19,"Hossler, Beau",1.12,11.1,61.7,07:51,12:26
20,"Ford, David",1.1,11.6,62.4,08:13,12:48
21,"Lindheim, Nicholas",1.1,9.9,59.8,08:24,
22,"Saddier, Adrien",1.09,10.9,61.2,12:37,08:02
23,"Sienkiewicz, Chase",1.07,10.2,60.0,07:51,12:26
24,"Yellamaraju, Sudarshan",1.05,10.2,60.2,12:15,07:40
25,"McGirt, William",1.04,10.0,60.2,06:56,11:31
26,"Russell, Miles",1.03,9.9,60.1,08:24,12:59
27,"Van Wyk, Kieron",1.02,10.0,60.2,12:26,07:51
28,"Long, Adam",1.02,9.8,59.4,07:18,11:53
29,"Logan, Hunter",1.01,10.1,60.2,12:37,08:02
30,"Potter Jr, Ted",1.01,9.9,59.7,12:59,08:24
31,"Piercy, Scott",1.0,9.9,59.7,11:31,06:56
32,"Nido, Chris",1.0,9.8,59.8,12:48,08:13
33,"Lebioda, Hank",0.99,10.2,59.8,11:42,07:07
34,"Bauchou, Zach",0.99,10.0,59.7,12:48,08:13
35,"Svensson, Jesper",0.99,10.3,60.4,12:59,08:24
36,"Hirata, Kensei",0.98,9.7,59.7,12:15,07:40
37,"Streb, Robert",0.97,10.2,59.8,11:20,06:45
38,"Long, Luke",0.97,10.4,59.7,07:40,12:15
39,"Chatfield, Davis",0.97,9.9,59.4,08:02,12:37
40,"Brown, Blades",0.96,10.0,59.3,08:02,12:37
41,"Bertagnole, Carson",0.96,10.2,60.0,08:24,12:59
42,"Jakubcik, Filip",0.96,9.8,59.7,12:37,08:02
43,"Gomez, Fabian",0.96,9.8,60.1,11:31,06:56
44,"Hahn, James",0.96,9.9,59.6,11:20,06:45
45,"Pena, Evan",0.95,10.2,60.2,12:59,08:24
46,"Wu, Dylan",0.95,9.4,59.0,06:56,11:31
47,"Biondi, Fred",0.94,10.2,59.8,12:26,07:51
48,"Kartrude, Michael",0.94,10.1,60.0,12:48,08:13
49,"Akina, Kihei",0.93,10.2,60.1,12:59,08:24
50,"Dufner, Jason",0.93,9.8,59.4,11:31,06:56
51,"Daly, Jr., John",0.93,9.9,60.0,08:02,12:37
52,"Cook, Austin",0.93,10.1,59.7,11:31,06:56
53,"Chacarra, Eugenio",0.93,9.3,58.4,08:13,12:48
54,"Stanger, Jimmy",0.92,10.1,60.0,12:37,08:02
55,"Ewart, A.J.",0.92,10.2,59.6,08:02,12:37
56,"Byrd, Jonathan",0.91,10.1,59.7,06:45,11:20
57,"Zhou, Yanhan",0.91,9.8,59.9,12:15,07:40
58,"Simoni, Reinaldo",0.91,9.9,59.9,08:13,12:48
59,"Wise, Aaron",0.89,9.8,60.1,11:53,07:18
60,"Brennan, Michael",0.89,9.9,59.8,07:18,11:53
61,"Nyholm, Pontus",0.89,9.7,59.9,08:13,12:48
62,"Lamprecht, Christo",0.89,9.8,59.9,08:24,12:59
63,"VanDerLaan, John",0.88,10.0,60.2,12:48,08:13
64,"Dou, Zecheng",0.87,10.0,59.7,12:37,08:02
