rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Scheffler, Scottie",21.33,67.2,98.3,0.0
2,"McIlroy, Rory",3.93,29.7,92.6,0.0
3,"Schauffele, Xander",3.36,27.8,92.0,0.0
4,"Fleetwood, Tommy",3.13,26.1,91.3,0.0
5,"Kim, Si Woo",2.89,25.0,91.0,0.0
6,"Griffin, Ben",2.8,25.0,90.9,0.0
7,"Henley, Russell",2.72,24.9,90.9,0.0
8,"Young, Cameron",2.51,24.0,90.8,0.0
9,"MacIntyre, Robert",2.45,21.9,89.7,0.0
10,"Spaun, J.J.",2.01,20.4,89.1,0.0
11,"Gerard, Ryan",1.93,19.2,88.8,0.0
12,"Cantlay, Patrick",1.81,18.8,88.6,0.0
13,"McNealy, Maverick",1.8,19.2,88.5,0.0
14,"Matsuyama, Hideki",1.74,19.2,88.9,0.0
15,"English, Harris",1.72,18.3,87.8,0.0
16,"Burns, Sam",1.71,19.1,88.6,0.0
17,"Hovland, Viktor",1.69,18.6,88.2,0.0
18,"Rose, Justin",1.66,17.3,87.7,0.0
19,"Morikawa, Collin",1.66,17.9,88.2,0.0
20,"Gotterup, Chris",1.65,18.5,88.5,0.0
21,"Fitzpatrick, Matt",1.47,16.5,86.9,0.0
22,"Hall, Harry",1.47,16.0,87.0,0.0
23,"Knapp, Jake",1.28,15.1,85.8,0.0
24,"McCarty, Matt",1.26,14.9,85.8,0.0
25,"Thorbjornsen, Michael",1.23,15.1,86.2,0.0
26,"Fowler, Rickie",1.23,15.3,86.2,0.0
27,"Aberg, Ludvig",1.18,13.9,85.2,0.0
28,"Coody, Pierceson",1.15,13.6,85.4,0.0
29,"Pendrith, Taylor",1.05,13.3,85.0,0.0
30,"Conners, Corey",1.03,13.8,85.2,0.0
31,"Stevens, Sam",1.01,13.2,84.9,0.0
32,"Kitayama, Kurt",0.99,12.5,83.8,0.0
33,"Lee, Min Woo",0.96,13.5,85.2,0.0
34,"Bradley, Keegan",0.96,12.7,84.4,0.0
35,"Poston, J.T.",0.9,12.8,84.2,0.0
36,"Lowry, Shane",0.88,12.0,83.7,0.0
37,"Day, Jason",0.86,12.3,84.1,0.0
38,"Rai, Aaron",0.86,11.5,82.9,0.0
39,"Berger, Daniel",0.74,10.4,82.6,0.0
40,"Noren, Alex",0.73,11.5,83.4,0.0
41,"McGreevy, Max",0.73,11.2,83.1,0.0
42,"Straka, Sepp",0.7,10.5,82.5,0.0
43,"Mitchell, Keith",0.68,10.0,81.9,0.0
44,"Spieth, Jordan",0.67,10.5,82.4,0.0
45,"Higgo, Garrick",0.67,10.1,82.4,0.0
46,"Bridgeman, Jacob",0.66,9.5,81.1,0.0
47,"Rodgers, Patrick",0.65,9.9,81.9,0.0
48,"Taylor, Nick",0.63,9.7,81.7,0.0
49,"Theegala, Sahith",0.61,10.0,81.9,0.0
50,"Penge, Marco",0.58,8.8,80.7,0.0
51,"Novak, Andrew",0.52,8.6,79.9,0.0
52,"Greyserman, Max",0.51,8.1,79.8,0.0
53,"Clark, Wyndham",0.49,8.2,80.0,0.0
54,"Hoey, Rico",0.48,8.2,79.7,0.0
55,"Yu, Kevin",0.46,8.0,79.1,0.0
56,"McCarthy, Denny",0.42,8.1,79.9,0.0
57,"Kim, Michael",0.39,6.5,77.9,0.0
58,"Bhatia, Akshay",0.34,7.1,78.0,0.0
59,"Smalley, Alex",0.33,6.7,78.3,0.0
60,"Grillo, Emiliano",0.32,5.9,76.0,0.0
61,"Cauley, Bud",0.31,6.1,76.7,0.0
62,"Kirk, Chris",0.3,5.5,74.8,0.0
63,"Glover, Lucas",0.29,5.2,75.2,0.0
64,"Jaeger, Stephan",0.29,5.1,74.8,0.0
65,"Hisatsune, Ryo",0.28,6.0,76.4,0.0
66,"Valimaki, Sami",0.26,6.0,75.9,0.0
67,"Harman, Brian",0.25,5.6,76.1,0.0
68,"Echavarria, Nico",0.24,4.9,74.2,0.0
69,"Fox, Ryan",0.17,4.2,72.6,0.0
70,"Hughes, Mackenzie",0.17,3.9,71.4,0.0
71,"Schmid, Matti",0.16,3.9,71.5,0.0
72,"Finau, Tony",0.16,3.8,71.2,0.0
73,"Fisk, Steven",0.14,3.7,71.4,0.0
74,"Hoge, Tom",0.1,2.8,67.5,0.0
75,"Potgieter, Aldrich",0.09,2.6,67.5,0.0
76,"Horschel, Billy",0.08,2.8,68.3,0.0
77,"Schenk, Adam",0.06,1.5,61.5,0.0
78,"Vegas, Jhonattan",0.05,1.8,63.0,0.0
79,"Campbell, Brian",0.01,0.7,52.9,0.0
80,"Highsmith, Joe",0.01,0.6,50.7,0.0
