rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Henley, Russell",6.02,33.7,81.0,0.2578519824559431
2,"Spaun, J.J.",5.51,32.2,79.5,0.17498736829955563
3,"Griffin, Ben",4.95,29.7,78.7,0.11675642400480418
4,"Kim, Si Woo",3.78,25.6,75.3,0.43327303651987575
5,"MacIntyre, Robert",3.44,23.6,74.4,-0.26077167620321207
6,"Morikawa, Collin",3.38,23.8,75.0,0.1661168499575073
7,"Matsuyama, Hideki",3.01,22.3,73.2,0.24760388746647607
8,"Bradley, Keegan",2.47,19.8,71.0,0.2514422615408417
9,"McNealy, Maverick",2.46,18.9,70.0,0.18437308045158485
10,"Conners, Corey",2.45,19.4,71.3,0.4253710456272652
11,"Hoey, Rico",2.29,19.1,70.4,0.2163351729858108
12,"Kitayama, Kurt",2.07,17.2,69.0,0.014603835249493949
13,"Reitan, Kristoffer",1.84,16.4,68.5,0.09990105988288653
14,"Hall, Harry",1.8,16.0,67.6,-0.0342997973757816
15,"Rai, Aaron",1.69,15.4,67.5,0.44984324638960976
16,"Pendrith, Taylor",1.62,15.0,66.6,0.03254290793791209
17,"McCarty, Matt",1.56,13.8,65.6,0.08323916888288652
18,"Gerard, Ryan",1.52,14.2,66.1,0.13214860788288654
19,"Gotterup, Chris",1.51,13.6,65.5,0.08578153488288653
20,"Scott, Adam",1.33,13.3,64.7,0.23103413812986506
21,"Meissner, Mac",1.18,11.8,62.1,0.08821448388288652
22,"Knapp, Jake",1.14,11.7,62.5,-0.03528085118839541
23,"Spieth, Jordan",1.13,12.4,63.6,0.03054496282346994
24,"McGreevy, Max",1.11,12.3,63.8,-0.24170472920143307
25,"Parry, John",1.08,10.6,61.0,0.09415248488288652
26,"Berger, Daniel",1.07,10.9,60.8,0.3251548574104228
27,"Yu, Kevin",1.07,11.6,63.0,0.5092087984123412
28,"Coody, Pierceson",1.02,10.5,60.9,0.14874172723108509
29,"Mitchell, Keith",0.95,10.1,60.7,0.22282641172456427
30,"Stevens, Sam",0.93,10.4,60.4,0.00825390169529705
31,"Taylor, Nick",0.93,10.4,60.6,0.03980163566344718
32,"Smalley, Alex",0.89,10.5,60.7,0.07985570755800209
33,"McCarthy, Denny",0.89,9.9,60.0,0.017299816852606273
34,"Kirk, Chris",0.86,10.1,60.3,0.13576547577349465
35,"Smith, Jordan",0.83,9.3,58.7,0.06779083988288653
36,"Harman, Brian",0.82,10.0,60.8,-0.012225532514479031
37,"Kim, Michael",0.81,9.4,59.8,-0.11992934134546022
38,"Whaley, Vince",0.79,9.4,59.4,0.1398446866908567
39,"Grillo, Emiliano",0.76,8.9,58.9,0.2003801489850585
40,"Echavarria, Nico",0.72,10.1,59.9,0.19170521566457382
41,"Rodgers, Patrick",0.71,8.8,57.9,0.021627395671750177
42,"Power, Seamus",0.7,8.4,57.2,0.2061462367722653
43,"Ghim, Doug",0.69,8.8,58.5,0.04662620861205159
44,"Schmid, Matti",0.63,7.6,56.0,-0.04739448117530437
45,"Kanaya, Takumi",0.59,8.0,56.6,-0.0027645544339021666
46,"Li, Haotong",0.58,7.0,54.9,-0.15489486418597864
47,"Mouw, William",0.55,7.6,55.9,0.03224446388288653
48,"Cole, Eric",0.54,6.9,53.8,0.06590104759763057
49,"Horschel, Billy",0.51,6.8,54.2,0.1524810247364931
50,"Fisk, Steven",0.5,6.7,54.3,0.03508972788288653
51,"Eckroat, Austin",0.5,6.4,53.2,0.39798556712115585
52,"Bridgeman, Jacob",0.5,7.0,54.9,0.12590492638348222
53,"Castillo, Ricky",0.48,6.7,53.7,0.021898243882886533
54,"Saddier, Adrien",0.46,5.9,52.8,0.03212738888288653
55,"Dou, Zecheng",0.45,5.2,50.6,0.03968383877316685
56,"Hodges, Lee",0.43,5.8,51.9,0.28482085637132637
57,"Nagasaki, Taisei",0.43,5.2,50.2,0.03968383877316685
58,"Nakajima, Keita",0.43,5.5,51.4,0.24009810573151566
59,"Kim, Tom",0.42,5.4,50.7,0.6877653357092891
60,"Sugiura, Yuta",0.4,5.2,50.2,0.03968383877316685
61,"Hirata, Kensei",0.4,5.1,50.1,0.03968383877316685
