player_id,player_name,country,r1_teetime,r2_teetime,r3_teetime,r4_teetime,r1_start_hole,r2_start_hole,r3_start_hole,r4_start_hole,r1_wave,r2_wave,r3_wave,r4_wave,event_id
23950,"Aberg, Ludvig",SWE,09:47,12:31,,,1,1,,,EARLY,LATE,,,28
26096,"Bhatia, Akshay",USA,10:38,13:22,,,1,1,,,EARLY,LATE,,,28
29197,"Brennan, Michael",USA,11:18,13:55,,,1,1,,,EARLY,LATE,,,28
29433,"Bridgeman, Jacob",USA,13:44,11:18,,,1,1,,,LATE,EARLY,,,28
19483,"Burns, Sam",USA,10:49,13:33,,,1,1,,,EARLY,LATE,,,28
15466,"Cantlay, Patrick",USA,11:29,09:03,,,1,1,,,LATE,EARLY,,,28
14502,"Cauley, Bud",USA,12:31,10:05,,,1,1,,,LATE,EARLY,,,28
23604,"Clark, Wyndham",USA,10:49,13:33,,,1,1,,,EARLY,LATE,,,28
21756,"Cole, Eric",USA,11:18,13:55,,,1,1,,,EARLY,LATE,,,28
22833,"Echavarria, Nico",COL,11:40,09:14,,,1,1,,,LATE,EARLY,,,28
25362,"Fitzpatrick, Alex",ENG,10:27,13:11,,,1,1,,,EARLY,LATE,,,28
17646,"Fitzpatrick, Matt",ENG,13:33,11:07,,,1,1,,,LATE,EARLY,,,28
12294,"Fleetwood, Tommy",ENG,13:22,10:49,,,1,1,,,LATE,EARLY,,,28
12965,"Fowler, Rickie",USA,12:09,09:36,,,1,1,,,LATE,EARLY,,,28
11889,"Fox, Ryan",NZL,10:05,12:42,,,1,1,,,EARLY,LATE,,,28
29767,"Gerard, Ryan",USA,13:11,10:38,,,1,1,,,LATE,EARLY,,,28
27774,"Gotterup, Chris",USA,13:22,10:49,,,1,1,,,LATE,EARLY,,,28
24968,"Griffin, Ben",USA,09:25,12:09,,,1,1,,,EARLY,LATE,,,28
14578,"Henley, Russell",USA,13:44,11:18,,,1,1,,,LATE,EARLY,,,28
22760,"Hisatsune, Ryo",JPN,11:29,09:03,,,1,1,,,LATE,EARLY,,,28
23602,"Hojgaard, Nicolai",DEN,12:31,10:05,,,1,1,,,LATE,EARLY,,,28
18841,"Hovland, Viktor",NOR,12:42,10:16,,,1,1,,,LATE,EARLY,,,28
17488,"Im, Sungjae",KOR,09:14,11:51,,,1,1,,,EARLY,LATE,,,28
14609,"Kim, Si Woo",KOR,11:07,13:44,,,1,1,,,EARLY,LATE,,,28
24766,"Kim, Tom",KOR,10:05,12:42,,,1,1,,,EARLY,LATE,,,28
21891,"Kitayama, Kurt",USA,12:53,10:27,,,1,1,,,LATE,EARLY,,,28
19396,"Knapp, Jake",USA,11:51,09:25,,,1,1,,,LATE,EARLY,,,28
16841,"Lee, Min Woo",AUS,13:11,10:38,,,1,1,,,LATE,EARLY,,,28
23323,"MacIntyre, Robert",SCO,12:09,09:36,,,1,1,,,LATE,EARLY,,,28
13562,"Matsuyama, Hideki",JPN,10:38,13:22,,,1,1,,,EARLY,LATE,,,28
28635,"McCarty, Matt",USA,13:55,11:29,,,1,1,,,LATE,LATE,,,28
10091,"McIlroy, Rory",NIR,12:20,09:47,,,1,1,,,LATE,EARLY,,,28
18634,"McNealy, Maverick",USA,13:55,11:29,,,1,1,,,LATE,LATE,,,28
22085,"Morikawa, Collin",USA,09:47,12:31,,,1,1,,,EARLY,LATE,,,28
10419,"Noren, Alex",SWE,11:51,09:25,,,1,1,,,LATE,EARLY,,,28
21554,"Poston, J.T.",USA,12:53,10:27,,,1,1,,,LATE,EARLY,,,28
18554,"Rai, Aaron",ENG,09:25,12:09,,,1,1,,,EARLY,LATE,,,28
21407,"Reitan, Kristoffer",NOR,10:27,13:11,,,1,1,,,EARLY,LATE,,,28
6093,"Rose, Justin",ENG,10:16,12:53,,,1,1,,,EARLY,LATE,,,28
19895,"Schauffele, Xander",USA,12:20,09:47,,,1,1,,,LATE,EARLY,,,28
18417,"Scheffler, Scottie",USA,13:33,11:07,,,1,1,,,LATE,EARLY,,,28
6430,"Scott, Adam",AUS,09:36,12:20,,,1,1,,,EARLY,LATE,,,28
18474,"Smalley, Alex",USA,10:16,12:53,,,1,1,,,EARLY,LATE,,,28
17536,"Spaun, J.J.",USA,12:42,10:16,,,1,1,,,LATE,EARLY,,,28
17511,"Straka, Sepp",AUT,09:14,11:51,,,1,1,,,EARLY,LATE,,,28
23014,"Theegala, Sahith",USA,09:03,11:40,,,1,1,,,EARLY,LATE,,,28
14139,"Thomas, Justin",USA,09:03,11:40,,,1,1,,,EARLY,LATE,,,28
26649,"Thorbjornsen, Michael",USA,11:40,09:14,,,1,1,,,LATE,EARLY,,,28
12577,"Woodland, Gary",USA,09:36,12:20,,,1,1,,,EARLY,LATE,,,28
26651,"Young, Cameron",USA,11:07,13:44,,,1,1,,,EARLY,LATE,,,28
