rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Scheffler, Scottie",31.12,92.0,100.0,0.43708620358180106
2,"Aberg, Ludvig",16.0,83.2,100.0,0.4674494807356884
3,"McIlroy, Rory",13.7,80.1,100.0,0.22240458117828052
4,"Burns, Sam",7.98,70.3,100.0,0.2616233434831029
5,"Fleetwood, Tommy",7.05,67.4,100.0,0.6748274891579374
6,"MacIntyre, Robert",4.73,60.2,100.0,0.22527106618968332
7,"Cantlay, Patrick",4.46,57.9,100.0,0.1584379172763089
8,"Scott, Adam",3.16,51.6,100.0,0.10008172338975642
9,"Hovland, Viktor",3.0,49.9,100.0,0.3493331554623444
10,"Schauffele, Xander",1.97,41.6,100.0,0.35338538026495564
11,"Fitzpatrick, Matt",1.47,37.1,100.0,0.17546057143490248
12,"Griffin, Ben",1.33,37.7,100.0,-0.26700246369991587
13,"Fowler, Rickie",0.92,29.0,100.0,0.2793777535992227
14,"Young, Cameron",0.74,27.5,100.0,-0.04282116975299139
15,"Im, Sungjae",0.49,21.1,100.0,0.366195688507633
16,"Noren, Alex",0.21,12.8,100.0,0.1422624420727778
17,"McNealy, Maverick",0.18,13.3,100.0,-0.008032134621495534
18,"Spaun, J.J.",0.18,13.2,100.0,-0.026526657712799755
19,"Henley, Russell",0.14,12.0,100.0,0.6371485410290744
20,"Thorbjornsen, Michael",0.14,10.3,100.0,0.19221338357805046
21,"Lee, Min Woo",0.14,12.1,100.0,0.22958198257805046
22,"Bridgeman, Jacob",0.13,11.8,100.0,0.47517400879862326
23,"Matsuyama, Hideki",0.11,10.2,100.0,0.010227489628632977
24,"Kim, Si Woo",0.08,8.5,100.0,0.31442124193117443
25,"Hojgaard, Nicolai",0.06,6.0,100.0,0.11982234257805045
26,"Kim, Tom",0.06,7.9,100.0,0.20126375177177344
27,"Reitan, Kristoffer",0.05,6.9,100.0,0.21500558757805047
28,"Fitzpatrick, Alex",0.05,7.2,100.0,0.12294051357805046
29,"Brennan, Michael",0.05,6.3,100.0,0.20104997857805043
30,"Thomas, Justin",0.05,4.8,100.0,-0.10547005257855051
31,"Kitayama, Kurt",0.04,6.0,100.0,-0.05798803225746921
32,"Morikawa, Collin",0.04,3.9,100.0,0.4136209926016155
33,"Hisatsune, Ryo",0.03,4.1,100.0,0.09974049157805046
34,"Rose, Justin",0.03,4.8,100.0,-0.06745036389821758
35,"Clark, Wyndham",0.03,5.8,100.0,0.03329351450693194
36,"Knapp, Jake",0.02,5.4,100.0,0.12967435557805046
37,"Woodland, Gary",0.02,3.4,100.0,0.15367660457805046
38,"McCarty, Matt",0.01,2.5,100.0,-0.0018641734219495484
39,"Echavarria, Nico",0.01,2.4,100.0,0.01829710357805046
40,"Gotterup, Chris",0.01,2.4,100.0,0.06761629696344035
41,"Bhatia, Akshay",0.01,1.0,100.0,0.11201904737332924
42,"Poston, J.T.",0.01,2.0,100.0,0.000444368288942417
43,"Straka, Sepp",0.01,1.5,100.0,0.14108814199432387
44,"Smalley, Alex",0.01,2.2,100.0,-0.5326987941068546
45,"Theegala, Sahith",0.0,1.0,100.0,-0.32151867990728683
46,"Cole, Eric",0.0,0.3,100.0,-0.40150596408353784
47,"Fox, Ryan",0.0,0.0,100.0,-0.4480753705115388
48,"Gerard, Ryan",0.0,0.0,100.0,0.03901047079199707
49,"Cauley, Bud",0.0,0.7,100.0,0.36058641279831893
50,"Rai, Aaron",0.0,0.2,100.0,0.7264067118620386
