rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Finau, Tony",39.93,94.4,99.6,0.16037028710772852
2,"Fleetwood, Tommy",16.64,82.3,98.6,0.10677171198967401
3,"Fitzpatrick, Matt",7.63,68.9,96.8,0.35661060717324694
4,"Rai, Aaron",5.92,63.8,96.1,0.6445996077620063
5,"MacIntyre, Robert",5.65,62.7,95.8,0.35088923916173814
6,"Burns, Sam",5.14,59.8,95.5,0.3190271628430302
7,"Fox, Ryan",4.24,56.1,94.6,0.2655445650030783
8,"Conners, Corey",2.43,44.4,92.4,0.3949378970093305
9,"Kirk, Chris",2.41,45.3,92.5,0.3991335883386492
10,"Rose, Justin",2.26,42.9,92.1,0.2941187707724559
11,"Bridgeman, Jacob",1.88,39.2,91.1,-0.13369058579288015
12,"Putnam, Andrew",1.77,40.8,91.1,0.5670881950482577
13,"Taylor, Nick",0.81,27.8,86.9,0.3207620502199996
14,"Lowry, Shane",0.64,24.2,85.3,0.20468125726924136
15,"Clark, Wyndham",0.42,20.9,83.1,0.31711723277132453
16,"Mitchell, Keith",0.38,19.7,82.3,0.16482387045012717
17,"Kim, Tom",0.33,16.9,80.0,-0.064631960101452
18,"Yu, Kevin",0.22,13.2,77.1,0.2035055609827386
19,"Hall, Harry",0.14,11.0,74.1,0.1680386293874747
20,"Suber, Jackson",0.1,8.5,71.1,-0.01055855737682778
21,"Ghim, Doug",0.07,6.7,68.4,0.3330459608144207
22,"Grillo, Emiliano",0.07,6.0,66.6,0.4619130024197156
23,"Glover, Lucas",0.06,6.8,68.4,0.2550320372077036
24,"Morikawa, Collin",0.05,5.8,66.6,0.2621097990653472
25,"Hughes, Mackenzie",0.05,5.6,65.8,-0.15945831999670612
26,"Pendrith, Taylor",0.05,6.0,66.5,-0.09080600380250438
27,"Hodges, Lee",0.05,6.3,67.7,0.16451236793878454
28,"Hossler, Beau",0.05,4.9,63.5,-0.205006417462121
29,"Olesen, Thorbjorn",0.05,6.4,67.5,-0.00053698434735798
30,"Crowe, Trace",0.04,3.3,58.4,-0.22181759700278084
31,"Hojgaard, Nicolai",0.04,4.7,62.7,-0.255662108380003
32,"Svensson, Jesper",0.04,7.0,68.3,-0.04291167435739929
33,"Wallace, Matt",0.03,4.5,62.6,0.15783341494204192
34,"Cole, Eric",0.03,3.9,60.3,0.1639234235516009
35,"Hubbard, Mark",0.03,4.7,62.7,0.03132048177164634
36,"Fisk, Steven",0.02,3.5,59.9,0.424997250668994
37,"Theegala, Sahith",0.02,1.7,50.8,-0.2281734567064269
38,"Reitan, Kristoffer",0.02,3.2,58.5,0.21259509106534713
39,"Noren, Alex",0.02,2.7,56.8,-0.0812430508948563
40,"Dahmen, Joel",0.01,2.5,54.6,0.1745652317665902
41,"Roy, Kevin",0.01,2.2,53.1,0.4651461419737598
42,"Potgieter, Aldrich",0.01,0.8,42.7,0.11713969606534715
43,"Hovland, Viktor",0.01,3.9,60.8,0.21249568506534716
44,"Willett, Danny",0.01,1.9,52.7,-0.14163751304718528
45,"Koepka, Brooks",0.01,2.1,53.4,0.17358125306534716
46,"Bezuidenhout, Christiaan",0.01,1.5,49.7,0.09344190706534718
47,"Fitzpatrick, Alex",0.01,2.4,54.6,0.17454208106534713
48,"Benson, Yohann",0.01,0.5,37.8,0.03866026640821797
49,"Brennan, Michael",0.01,1.6,50.8,0.18649062806534716
50,"Eckroat, Austin",0.01,0.6,38.3,0.05163213806534715
51,"Meissner, Mac",0.01,0.9,44.0,0.5461049197473371
52,"Fishburn, Patrick",0.01,0.6,39.7,0.14199071116525375
53,"Homa, Max",0.01,1.2,46.4,-0.00020605336193413315
54,"Schmid, Matti",0.01,0.6,39.0,-0.010810451158695677
55,"Sihota, Jeevan",0.01,0.5,37.4,0.03866026640821797
56,"Thompson, Davis",0.01,0.7,42.8,0.1471178539206189
57,"Smith, Jordan",0.01,1.7,50.5,0.16459911406534716
58,"McCarthy, Denny",0.01,1.0,44.3,0.055613708065347156
59,"Bauchou, Zach",0.01,1.2,47.2,0.10489658506534717
60,"Smotherman, Austin",0.01,2.6,55.8,0.0352989727510888
61,"Cauley, Bud",0.0,1.0,45.6,0.16280830840883212
62,"O'Donovan, Declan",0.0,0.6,38.2,0.03866026640821797
63,"Stanger, Jimmy",0.0,0.4,37.7,0.03866026640821797
64,"Silverman, Ben",0.0,0.5,36.8,-0.13261273248272398
65,"Castillo, Ricky",0.0,1.5,49.4,0.21985430863992264
66,"Waring, Paul",0.0,0.4,35.2,-0.04674413058802603
67,"Whaley, Vince",0.0,0.7,40.6,-0.11080368353580383
68,"Nyholm, Pontus",0.0,0.5,37.5,0.03866026640821797
69,"Moore, Taylor",0.0,0.1,20.8,0.20740938989886246
70,"Griffin, Lanto",0.0,0.5,38.2,-0.11120555736944145
71,"Hoey, Rico",0.0,1.6,49.1,0.33585562518051004
72,"Higgo, Garrick",0.0,1.2,45.7,0.020001790619507236
73,"Sloan, Roger",0.0,1.0,42.6,0.03866026640821797
74,"Shipley, Neal",0.0,0.3,31.7,0.03136858006534715
75,"James, Ben",0.0,0.5,38.0,0.03866026640821797
76,"Li, Haotong",0.0,0.9,43.0,0.10383570606534716
77,"Poston, J.T.",0.0,1.1,44.9,0.16238877176262112
78,"Vegas, Jhonattan",0.0,1.5,49.2,-0.03005149715789665
79,"Hadwin, Adam",0.0,1.9,52.9,0.11509997838130728
80,"Anderson, Matthew",0.0,0.2,31.2,0.03866026640821797
81,"Brown, Dan",0.0,0.4,34.8,0.03191889006534715
82,"Chatfield, Davis",0.0,0.5,38.0,0.03866026640821797
83,"Clanton, Luke",0.0,0.1,26.7,-0.0028477460584845436
84,"Campos, Rafael",0.0,0.0,7.3,-0.29942050472935744
85,"Campbell, Brian",0.0,0.0,20.3,-0.13901377393465286
86,"Blanchet, Chandler",0.0,0.5,37.5,0.06844056106534717
87,"Lebioda, Hank",0.0,0.3,33.0,0.005657749192111447
88,"Malnati, Peter",0.0,0.0,16.3,-0.4554072161511602
89,"Matthews, Justin",0.0,0.1,24.0,0.03866026640821797
90,"Kizzire, Patton",0.0,0.0,10.6,-0.36722906202871264
91,"Lamprecht, Christo",0.0,0.1,22.5,-0.08268354793465284
92,"Hoge, Tom",0.0,0.4,32.6,-0.004105109934652844
93,"Hoffman, Charley",0.0,0.0,13.6,-0.015544236163994432
94,"Kanaya, Takumi",0.0,0.2,30.0,0.38778462033505223
95,"Lew, Dawson",0.0,0.4,37.5,0.03866026640821797
96,"Lipsky, David",0.0,0.0,15.8,0.20278781101210952
97,"Lower, Justin",0.0,0.1,24.9,-0.104141944197968
98,"Horschel, Billy",0.0,0.3,31.9,-0.005514434934652847
99,"Ewart, A.J.",0.0,0.1,26.6,-0.09341380589997149
100,"Dou, Zecheng",0.0,0.0,15.2,-0.7339384641415235
101,"Garnett, Brice",0.0,0.0,15.7,0.18602548220367388
102,"Davis, Cam",0.0,0.1,20.1,-0.11717716993465284
103,"Desmarchais, Laurent",0.0,0.5,37.7,0.03866026640821797
104,"Dumont De Chassart, Adrien",0.0,1.1,45.4,-0.10321652790947052
105,"Covello, Vince",0.0,0.3,34.3,0.03866026640821797
106,"Dunlap, Nick",0.0,0.0,12.6,-0.270496236443622
107,"Harrington, Padraig",0.0,0.1,18.7,-0.13122112893465288
108,"Hirata, Kensei",0.0,0.2,28.1,-0.030725230934652847
109,"Highsmith, Joe",0.0,0.0,14.7,0.08635567843329342
110,"Greyserman, Max",0.0,0.1,26.8,-0.5900589801887246
111,"Jaeger, Stephan",0.0,0.1,23.4,0.401518657842405
112,"Keefer, Johnny",0.0,0.2,31.7,0.018050302949956524
113,"Kang, Jeffrey",0.0,0.0,13.5,-0.2622419462325096
114,"McGreevy, Max",0.0,0.2,28.2,-0.014744057206304933
115,"McCulloch, Ashton",0.0,0.2,29.5,0.03866026640821797
116,"Sanderson, Calen",0.0,0.5,37.8,0.03866026640821797
117,"Ryder, Sam",0.0,0.0,19.6,-0.05382683222865697
118,"Rozo, Marcelo",0.0,0.5,37.8,0.03866026640821797
119,"Power, Seamus",0.0,0.2,30.6,-0.3565841209599425
120,"Ramey, Chad",0.0,0.6,40.2,-0.07432107911771774
121,"Riley, Davis",0.0,0.0,14.9,-0.30051248508445455
122,"Nesbitt, Drew",0.0,0.0,12.4,0.03866026640821797
123,"Neergaard-Petersen, Rasmus",0.0,1.2,46.4,0.13272491106534715
124,"Nakajima, Keita",0.0,0.6,37.6,0.05265780506534715
125,"Mouw, William",0.0,0.5,37.5,0.47896745954833325
126,"O'Hair, Sean",0.0,0.6,38.5,0.03866026640821797
127,"Parry, John",0.0,0.6,37.7,0.04202156006534715
128,"Pavon, Matthieu",0.0,0.0,1.4,0.3137652753910901
129,"Phillips, Chandler",0.0,0.9,43.4,-0.06095145217736902
130,"Schenk, Adam",0.0,0.0,10.9,-0.32920457056073055
131,"Savoie, Joey",0.0,0.5,37.7,0.03866026640821797
132,"Svensson, Adam",0.0,0.5,37.2,0.19065166221425492
133,"Springer, Hayden",0.0,0.1,21.2,0.133263468340611
134,"Tosti, Alejandro",0.0,0.1,21.7,-0.1769291330243123
135,"Thorbjornsen, Michael",0.0,0.3,32.1,-0.21834964047122118
136,"VanDerLaan, John",0.0,0.2,29.1,-0.018615793934652847
137,"Van Rooyen, Erik",0.0,0.1,16.9,-0.19882161265532802
138,"Walker, Danny",0.0,0.0,15.6,-0.18333654902163526
139,"Villegas, Camilo",0.0,0.0,13.9,-0.2621350998968646
140,"Vilips, Karl",0.0,0.0,13.5,-0.12246501552003707
141,"Ventura, Kris",0.0,0.5,37.6,0.3400834336820842
142,"Weir, Mike",0.0,0.3,32.4,0.03866026640821797
143,"Wu, Dylan",0.0,0.1,25.1,-0.04257816047506781
144,"Yellamaraju, Sudarshan",0.0,0.1,20.3,0.02478257584063899
145,"Zhao, Eric",0.0,0.4,37.8,0.03866026640821797
